parent,formal_parent,src,dst,n_src,n_dst,graph_action,delta_U_rel,delta_U0,barrier_U_rel,direction,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,reversible,keep,keep_reason
macrophages,Macrophages,Resolution macrophages,Fn1+ macrophages,1935,247,0.07214677048714044,-0.3103282622450413,-0.00012934492729549385,0.19377213649054614,relax,6,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,7.0,14.0,0.0,none,0.06700702024875758,0.9287598016569885,True,True,mst+local_cheap
macrophages,Macrophages,Resolution macrophages,Cd163-/Cd11c+ IMs,1935,734,0.4498726274436533,-0.4629718472154235,-0.00019296682643316077,0.5216832132232566,relax,35,0.2857142857142857,0.11428571428571428,0.6,7.0,7.0,0.0,weak,0.4543996629250712,1.010062927158143,True,False,not_kept
macrophages,Macrophages,Resolution macrophages,Cd163+/Cd11c- IMs,1935,480,0.33053491515506883,-0.3774250729563913,-0.0001573109012626417,0.8215652576665595,relax,26,0.19230769230769232,0.038461538461538464,0.7692307692307693,7.0,3.0,0.0,weak,0.3403264101308499,1.02962317905253,True,False,not_kept
macrophages,Macrophages,Fn1+ macrophages,AM (PBS),247,1194,0.7809497473797934,-0.13008635045213912,-5.4220035969776426e-05,0.0,relax,27,0.1111111111111111,0.18518518518518517,0.7037037037037037,14.0,0.0,0.0003211557027284244,none,0.8026631666314533,1.027803862314424,True,False,not_kept
macrophages,Macrophages,Fn1+ macrophages,AM (Bleo),247,3286,0.12839051532258952,0.4492616074597248,0.0001872523937495596,0.4115691578005847,climb,9,0.1111111111111111,0.5555555555555556,0.33333333333333326,14.0,21.0,0.0005428819637893327,none,0.12004615218083929,0.9350079472637096,True,True,mst+local_cheap
macrophages,Macrophages,Fn1+ macrophages,M2 macrophages,247,2361,0.25712433227646575,0.35466003646499145,0.0001478224261602934,0.2312395163876113,climb,18,0.16666666666666666,0.2222222222222222,0.6111111111111112,14.0,10.0,0.011926687226918854,none,0.259662976558721,1.0098732168160414,True,False,not_kept
macrophages,Macrophages,Fn1+ macrophages,Resolution macrophages,247,1935,0.06700702024875758,0.3103282622450413,0.00012934492729549385,0.0,climb,6,0.16666666666666666,0.5,0.33333333333333337,14.0,7.0,0.001111754943190857,none,0.07214677048714044,1.0767046530083755,True,True,mst+local_cheap
macrophages,Macrophages,Fn1+ macrophages,Cd163-/Cd11c+ IMs,247,734,0.42748483220438654,-0.15264358497038222,-6.362189913766692e-05,0.32791107673271047,relax,30,0.06666666666666667,0.1,0.8333333333333334,14.0,7.0,0.00025342065565504986,none,0.42362839749841175,0.9909787800257626,True,False,not_kept
macrophages,Macrophages,Fn1+ macrophages,Cd163+/Cd11c- IMs,247,480,0.30568975835146855,-0.06709681071135004,-2.796597396714784e-05,0.6277931211760134,relax,14,0.14285714285714285,0.07142857142857142,0.7857142857142858,14.0,3.0,0.00016894710377003328,none,0.300643493047239,0.9834922002868965,True,False,not_kept
macrophages,Macrophages,Cd163-/Cd11c+ IMs,AM (PBS),734,1194,0.3821196620630391,0.022557234518243097,9.40186316789049e-06,0.5206821763557776,flat,18,0.16666666666666666,0.4444444444444444,0.38888888888888895,7.0,0.0,0.00024058943518220368,weak,0.392427142548144,1.0269744834077066,True,True,mst
macrophages,Macrophages,Cd163-/Cd11c+ IMs,AM (Bleo),734,3286,0.32489391940186135,0.6019051924301071,0.0002508742928872265,1.0376462157752053,climb,23,0.13043478260869565,0.34782608695652173,0.5217391304347826,7.0,21.0,0.008375340110436147,medium,0.3071701428140129,0.9454474967662557,True,True,local_cheap
