,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC
Cd55,0.41321114690627986,0.46678522596421446,1.9931933362653063,0.4217360320593684,0.4335855911125136,0.5426591587161333,0.40250331650727644,0.5489796317883281,0.44174977207925803
Ahi1,0.14790199255639686,0.12098002467179239,1.4480973309651632,0.13271661636767837,0.26692810525305166,0.256048604240014,0.14188034227808166,0.1370036372437984,0.14030256727517215
Ogfrl1,0.5423823722696842,0.6217762284063809,2.0791107329165723,0.5189314967254723,0.4833370173633175,0.4905907758835866,0.5597119997906269,0.8006476727035046,0.5300372955552932
Hspb1,2.031952657004628,2.158299495184601,3.30984845244788,2.1431068369883124,2.1052687599163917,1.9932911017092758,2.370549322053487,2.2423371325507966,2.2476804453076857
Tshz2,0.8525033827950735,0.5806006420565296,3.1939406201372815,0.5528059968606153,0.5877357582908624,0.5204724694429458,1.481470634167747,0.6695854733611781,0.7223041395873491
Kbtbd11,0.08813962044855854,0.11630650897143806,1.0237272029355333,0.09281331433619737,0.13443948606565068,0.08908668107156291,0.3756628581840464,0.12130100398837529,0.09684365102066317
2010005H15Rik,0.0516414982741323,0.07996882934309102,0.08790187408030664,0.056389987402417824,0.08161179241493957,0.05869948881894363,0.055340171068170116,0.08052471248369458,0.07708580691301413
Chst2,0.2165472689282475,0.2639811181488845,0.9164266788008526,0.2016247750158484,0.24076273692321287,0.3062001547251481,0.3134735413164236,0.2956295851670806,0.2593507925058742
Gm34583,0.05846645394934071,0.08767900801224593,0.2475313340803207,0.07131340086032448,0.08435793507387593,0.06528566014063084,0.059494552341743494,0.09139291997109049,0.08306406345928298
Hsbp1l1,0.3377635461736813,0.3571692846022554,1.7352626900797705,0.3784723502943462,0.3339114125621513,0.33291391790517016,0.3165170824082841,0.408526369524234,0.3737479445518524
Chl1,0.21627325762243316,0.24116430009590364,1.369446057965228,0.18036533568867666,0.5640005477830398,0.1889309221216255,0.20855503069645917,0.2454993317765733,0.20787248063849145
Car1,0.046478212011918,0.06601746287443822,0.0768435185509399,0.1077700186204103,0.06508301575410244,0.04526732349543135,0.04909138947989418,0.055766896707709075,0.05513930934391931
Pcsk1n,2.1585684699951613,2.2863257098090735,4.479561048877195,2.274616107261065,2.2291456135243237,2.183941187888368,2.039902774519109,2.409242616684506,2.2565784437625704
