gene,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC,log1p_diff,pval_adj,mean_late,mean_control,best_celltype
S100a11,-0.05369023981914149,-0.07721235554595017,0.4886551479735309,-0.07755764984913951,-0.17843875679974128,-0.19219529592608342,-0.1440964253287229,0.2485307964083541,-0.005385593374955214,0.6588369892527508,0.0,1.9226548978132718,1.263817908560521,Neuron
Scg3,-0.10886775888117152,-0.13289816655495484,0.7114261942198257,-0.05956211976402151,-0.10041234696206491,-0.20169029093372903,-0.1561522281579908,-0.06581305297632854,-0.07502934601164842,-0.5816527525943448,2.6348155265850872e-248,0.914616366310189,1.4962691189045338,Neuron
Selenow,-0.10159576744149902,-0.1551396791103667,0.833040825198313,-0.06850250992970974,-0.20770012258113596,-0.2234568336126481,-0.10137136766924602,-0.08322988354802535,-0.05723621975122905,-0.4664679452692191,1.718330365684272e-228,2.654158093891306,3.120626039160525,Neuron
Sema6a,-0.05067341900244341,-0.07411248981094094,0.3115098416354704,-0.044645123640682925,-0.06966616399279396,-0.12622319001504118,0.07105031265752089,-0.041020797451426734,-0.0524200525837156,0.37472679859967306,0.0,0.46977871816189976,0.09505191956222668,Neuron
Serpinb1a,-0.05893683894582194,-0.005101533808783578,0.1921515575774389,-0.02328760815222735,-0.04897395705692449,-0.0881013462004986,-0.04671418026318585,0.08010046726030705,-0.02800856826187348,0.6614288406638416,0.0,1.2875945542042844,0.6261657135404428,Neuron
Skp1a,-0.10056790094274655,-0.15247484387986368,0.7613456481210122,-0.06392967275543508,-0.19473629115173277,-0.1748496822063827,-0.1090604155972612,-0.05587440349150155,-0.0695678273498693,-0.7192719842707711,0.0,1.8573773094783488,2.57664929374912,Neuron
Sncg,-0.11930106483728221,-0.15607581004974067,0.8322547037538611,-0.05550009666110876,-0.18868651665598055,-0.15242490294484978,-0.20885921270793736,-0.07606440051358694,-0.07228101425000272,-0.6333175131127455,0.0,3.3964609913610437,4.029778504473789,Neuron
Snhg11,-0.08915903033918772,-0.1539219439464469,0.8593845733940162,-0.06064524658277133,-0.23941398344898168,-0.19441795932784622,-0.1333848260087116,-0.08022562923361466,-0.07341961613258255,-0.5917868115475686,0.0,0.6852535673807385,1.2770403789283071,Neuron
Sprr1a,-0.056459227473594206,0.0017741293854425732,0.2251263137088784,-0.02714450881609701,-0.023757736740213743,-0.08777414224495335,-0.07400655955396014,-0.003287147572856087,-0.023687965356371035,1.5022851643088375,0.0,1.5041449678685166,0.0018598035596790667,Neuron
Stmn4,-0.06476042967552399,-0.06570364017382162,0.4832384183927341,-0.0430635468226843,-0.12092407476390055,-0.12402509037242562,-0.08545350954529364,-0.04296816354754938,-0.04293863378544118,0.40538818570809265,0.0,0.5992854936930988,0.19389730798500612,Neuron
